commentID,wsjUni,apUni
523234,-110.0297,-121.5429
403021,-160.6610,-163.6027
13668,-256.1705,-263.0200
494051,-243.6742,-229.8240
489729,-757.7304,-743.3620
403306,-310.8246,-332.2826
504159,-980.3264,-1014.5444
17481,-1091.3493,-1104.6031
1858,-889.3045,-958.3480
464242,-1283.0372,-1394.5157
143643,-570.4426,-603.2018
227408,-150.0244,-162.7281
92637,-222.8725,-222.0167
471528,-897.9946,-931.9793
86531,-363.7697,-366.6383
243208,-780.1267,-799.9607
498716,-200.3058,-221.6538
401383,-1052.3229,-1028.4114
322381,-74.5886,-76.2501
481961,-810.4339,-862.2293
493549,-105.2219,-113.3212
173189,-748.1781,-795.7559
86291,-199.6191,-206.5235
18132,-436.6133,-462.3168
491194,-149.0932,-140.1163
312929,-588.9273,-596.1598
7399,-208.8155,-213.7852
241030,-363.1550,-375.8159
294914,-1083.3613,-1130.8666
274682,-290.3867,-301.4319
17680,-419.2891,-432.1612
505522,-1251.7517,-1303.4491
381311,-380.7874,-378.8736
429380,-46.5736,-49.1765
458848,-143.8811,-144.3194
400660,-869.3775,-918.1884
495057,-1079.0669,-1116.1922
366011,-393.6389,-367.3195
280087,-141.4078,-151.1098
284209,-175.5722,-173.1754
52601,-1067.1908,-1091.8930
72368,0.0000,0.0000
434360,-1434.8188,-1546.8043
228425,-288.3102,-303.6967
59432,-129.5641,-130.7378
19958,-1310.4138,-1349.5201
346422,-196.0094,-200.3990
379346,-56.6661,-56.0042
9668,-349.5732,-365.7159
41493,-159.8667,-156.0185
477167,-666.6667,-706.5736
46384,-984.8503,-1044.6221
288001,-229.6291,-231.5628
285922,-117.0462,-121.6158
178814,-654.1493,-658.0483
214743,-645.1433,-641.1295
334820,-466.2569,-487.8063
452835,-275.3145,-282.8987
355784,-869.9026,-831.9510
512327,-259.4713,-256.2898
318581,-332.3712,-354.2383
7450,-310.6414,-321.3744
398907,-788.8026,-828.3791
103178,-365.9806,-395.7546
322201,-203.8619,-222.4997
486151,-146.7923,-152.3439
421290,-983.5036,-1012.0851
508328,-1353.1387,-1400.9688
5081,-864.4955,-862.0393
91546,-526.7435,-554.1856
10907,-249.1572,-253.5728
257739,-1125.7745,-1178.7054
209385,-151.4364,-141.1773
216648,-34.6518,-36.7608
441103,-454.5511,-473.2418
159461,-425.4281,-441.6704
125563,-463.8356,-488.8566
270215,-312.3599,-295.6675
47316,-270.3989,-276.3772
225519,-966.1650,-1013.8961
98121,-189.3110,-190.9242
517285,-929.9004,-940.7187
214214,-256.5000,-275.7453
149745,-286.6595,-291.7379
459857,-858.2170,-897.0975
163075,-129.0026,-124.6070
519549,-799.5439,-847.3166
526823,-111.0765,-110.2197
288525,-1089.9910,-1141.2774
336085,-144.5343,-143.7522
280325,-641.6597,-647.9561
363648,-762.3823,-816.5243
413543,-447.3834,-474.0144
517055,-385.7252,-404.0898
446120,-369.2758,-391.9775
461133,-203.5511,-209.7481
454979,-783.8298,-828.6667
37378,-451.5250,-464.3926
44797,-248.8069,-268.5523
345524,-1173.2828,-1198.8360
371081,-64.1168,-65.4144
476684,-643.3899,-641.5613
8701,-217.7069,-225.1736
312407,-1193.1197,-1251.7472
363128,-396.0248,-380.0348
343897,-115.4445,-122.6876
196768,-119.6247,-122.1636
399406,-556.9350,-561.2196
10478,-125.6840,-133.6941
244227,-41.8469,-45.2255
68167,-65.1976,-65.5468
519323,-115.9731,-123.5413
261877,-118.6318,-102.4494
86087,-162.4758,-170.8907
28465,-520.4832,-541.8731
312581,-1105.9669,-1208.1776
429995,-43.8281,-42.6326
450777,-241.4137,-252.6390
458842,-413.3343,-424.1029
289122,-224.6462,-218.7586
522918,-231.7568,-232.6373
145331,-40.8376,-38.2775
429317,-1139.9862,-1154.1908
247851,-361.7790,-351.3184
340350,-346.2832,-369.0857
287395,-349.8697,-345.6972
428684,-1112.3121,-1176.9863
27842,-1212.9102,-1243.2404
165182,-697.6020,-741.5234
183862,-69.1875,-71.4428
350995,-316.3874,-334.8624
373209,-163.3354,-162.1866
436933,-1100.9453,-1131.3239
333345,-451.4386,-501.5119
524770,-308.2859,-318.0475
406163,-686.3127,-675.3688
408247,-858.8527,-912.6711
20278,-63.7883,-66.3127
334901,-638.2448,-659.8111
191768,-332.7844,-342.4772
368135,-592.1525,-602.7934
413909,-193.9217,-190.1667
456131,-95.0696,-95.4610
118408,-171.3242,-176.5729
182281,-74.0911,-75.0989
392759,-387.8324,-369.3943
534401,-325.3933,-337.1935
487919,-140.9875,-127.2648
490494,-78.4140,-80.5881
259227,-70.0445,-72.7589
397357,-650.6293,-694.9476
395700,-87.0148,-88.4500
314406,-63.6050,-67.2273
236387,-453.0691,-462.4508
225935,-350.6344,-357.0686
224317,-420.5415,-421.2554
350152,-571.4178,-604.4156
283658,-75.9551,-75.5108
401490,-110.0767,-113.5934
18105,-218.7329,-223.3887
368136,-120.0551,-120.9054
411629,-398.0169,-427.9155
265256,-179.8925,-185.2729
127972,-522.6856,-551.7280
344730,-531.9460,-551.8557
25616,-504.2460,-513.1101
151690,-246.1732,-260.5038
50953,-795.0937,-823.7801
135927,-831.2918,-855.6059
500359,-464.1880,-502.7472
504413,-59.5082,-66.2457
140447,-462.7329,-503.1070
175539,-858.5983,-894.3924
80290,-259.1889,-271.2407
249975,-287.5773,-274.4714
55111,-546.5643,-567.3359
282918,-173.8353,-181.7802
248777,-479.0915,-493.1217
247067,-211.5115,-217.9882
532716,-437.3477,-444.5944
368917,-694.6114,-688.2959
176909,-757.8204,-803.0936
175183,-915.6608,-968.8476
40065,-98.0487,-107.5847
273576,-419.8204,-428.6312
135150,-584.5932,-623.2305
171599,-947.2353,-990.1428
506614,-419.6542,-425.6153
503708,-1075.5709,-1122.5138
3566,-607.1858,-623.1352
108220,-240.3755,-248.0141
92876,-429.8837,-447.0277
263873,-389.7136,-347.8630
213069,-646.6548,-688.0025
2139,-478.8454,-467.2104
50737,-312.8246,-319.7893
394470,-1053.5382,-1057.0002
136200,-216.7912,-214.1189
148457,-721.1168,-750.0691
255472,-447.3684,-473.1320
251725,-295.0515,-301.3348
68456,-77.7100,-85.6551
402612,-521.3302,-519.4131
469446,-353.5205,-379.6866
310945,-177.8422,-191.8257
100718,-413.6045,-426.5023
412029,-49.9755,-51.4901
175844,-245.0895,-242.0873
275378,-419.4141,-399.7992
193500,-260.5720,-266.5979
16574,-1402.1463,-1494.0359
87701,-30.9648,-29.3328
14692,-536.7606,-576.8127
159582,-266.8814,-272.1879
227039,-182.1405,-190.3697
237442,-542.0348,-570.7805
498004,-1267.1851,-1289.4253
115585,-405.2119,-419.7474
205557,-417.0822,-409.3601
264481,-1057.0286,-1116.8631
386052,-38.2976,-37.9482
176808,-96.0847,-97.7465
50182,-307.1554,-283.8326
375145,-471.8918,-506.8757
170167,-830.7515,-875.7981
55369,-1124.4747,-1085.5868
298144,-1159.5978,-1199.8726
98457,-138.3549,-142.6530
269579,-252.2695,-258.8135
342870,-334.2016,-332.2215
386193,-402.4124,-428.1571
138297,-221.3054,-218.5184
276274,-588.1368,-615.2038
390068,-1324.3888,-1407.1160
498537,-847.4910,-891.0352
323735,-187.4825,-202.9404
343443,-53.5900,-57.2745
271280,-840.6402,-834.8374
277190,-1328.9939,-1296.9735
289525,-524.9253,-544.3529
199797,-397.7353,-436.3555
242037,-804.4855,-830.7998
264032,-1212.3732,-1303.3212
506940,-247.1869,-257.9701
40196,-986.3622,-1009.8547
13871,-637.0923,-697.1259
175894,-636.1409,-681.7975
262868,-1201.1623,-1137.2799
329096,-429.1318,-446.9578
120575,-229.0213,-231.1407
352828,-244.7021,-255.9407
