commentID,avgparseht,avgNPsent,avgVPsent,avgSUBsent,avgcosine,avgwordover,avgNNPRPover,avgPRPsent,avgDefSent
523234,9.0000,6.0000,0.0000,0.0000,�,�,�,0.0000,0.0000
403021,12.0000,3.6667,3.3333,0.6667,0.0798,0.0500,0.0000,2.3333,0.6667
13668,8.1667,3.6667,1.5000,0.5000,0.0781,0.0259,0.0000,0.1667,0.1667
494051,11.7500,4.5000,3.7500,0.0000,0.0914,0.0351,0.0000,0.2500,0.5000
489729,13.8571,7.4286,4.0000,1.2857,0.3188,0.1601,0.0542,1.0000,1.7143
403306,7.8333,3.6667,1.1667,0.1667,0.0000,0.0000,0.0000,0.5000,0.5000
504159,14.7143,11.1429,6.0000,1.5714,0.2979,0.1661,0.2263,2.4286,1.5714
17481,12.5000,6.5625,3.7500,0.5625,0.1568,0.0729,0.0241,0.6875,0.6250
1858,11.4000,6.3000,3.2000,0.3000,0.1672,0.1120,0.0569,0.2000,0.7000
464242,11.7143,7.0714,2.6429,0.9286,0.1474,0.0771,0.0326,0.8571,0.9286
143643,10.8333,8.3333,3.5000,1.1667,0.2637,0.1418,0.0682,1.6667,1.1667
227408,21.0000,10.0000,6.0000,1.0000,�,�,�,0.0000,1.0000
92637,11.0000,2.6000,4.8000,0.2000,0.1197,0.0860,0.0000,0.6000,0.6000
471528,12.0000,8.1111,4.5556,0.8889,0.2325,0.1073,0.1245,2.4444,0.6667
86531,13.0000,7.4000,4.0000,0.6000,0.2029,0.1065,0.0417,1.6000,1.2000
243208,13.2500,7.2500,4.1250,1.1250,0.1410,0.0771,0.0893,1.7500,0.6250
498716,8.0000,4.3333,1.3333,0.0000,0.1069,0.0278,0.0000,0.3333,1.0000
401383,11.7500,6.5000,4.0000,0.7500,0.2354,0.1242,0.0953,0.6667,1.5000
322381,11.0000,6.0000,2.0000,0.0000,�,�,�,0.0000,0.0000
481961,15.0000,11.0000,6.5000,1.8333,0.1450,0.0536,0.0287,2.5000,0.8333
493549,5.5000,3.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
173189,12.3750,7.2500,3.6250,0.6250,0.1462,0.0893,0.0204,0.8750,0.7500
86291,9.2500,3.0000,2.5000,0.2500,0.0384,0.0238,0.0833,0.7500,0.5000
18132,13.5000,9.2500,4.5000,1.2500,0.1468,0.0697,0.0000,1.2500,1.0000
491194,6.7500,3.7500,0.5000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500
312929,12.0000,6.7500,3.6250,0.7500,0.0620,0.0245,0.0000,1.0000,0.6250
7399,12.0000,4.3333,3.6667,0.6667,0.0000,0.0000,0.0000,1.3333,0.0000
241030,9.2500,6.7500,2.2500,0.7500,0.1511,0.0611,0.0000,1.0000,0.2500
294914,15.5714,13.2857,6.7143,1.7143,0.1775,0.1084,0.0709,2.0000,1.2857
274682,16.6667,10.6667,6.6667,1.3333,0.2315,0.1032,0.1056,2.6667,1.0000
17680,15.3333,13.3333,6.0000,3.3333,0.2415,0.1460,0.1496,1.6667,1.6667
