commentID,grammarErrorCount,spellingErrorCount
1351,0,0
1353,0,0
1354,1,0
1356,0,0
1357,1,0
1358,0,0
1359,0,0
1360,0,0
1363,0,2
1364,1,0
1365,0,0
1366,2,2
1367,0,1
1368,0,0
1369,0,0
1371,0,2
1372,1,1
1373,0,0
1374,0,3
1375,4,0
1376,1,3
1377,0,0
1378,0,0
1379,0,0
1380,0,0
1381,0,0
1382,0,0
1383,7,10
1384,0,0
1408,0,0
1409,2,0
1414,0,1
1415,0,0
1416,3,0
1417,0,0
1418,1,1
1419,1,0
1420,0,0
1425,1,0
1427,1,2
1428,0,0
1429,0,0
1430,0,0
1431,0,1
1432,0,0
1433,1,0
1435,0,0
1436,0,1
1437,0,0
1453,1,0
1464,2,11
1465,0,0
1466,2,0
1467,0,0
1468,0,0
1469,0,0
1470,1,0
1471,3,2
1472,1,6
1473,2,2
1474,2,3
1475,8,0
1476,2,2
1483,0,3
1484,1,0
1485,1,0
1495,1,1
1497,0,3
1498,0,3
1499,0,0
1500,2,0
1501,0,0
1502,1,0
1503,1,0
1504,0,0
1505,4,1
1534,2,5
1544,1,0
1545,1,2
1553,0,2
1554,2,0
1555,1,0
1556,1,1
1557,0,0
1560,2,4
1561,0,0
1562,0,0
1563,9,2
1567,1,2
1568,0,0
1569,0,1
1571,0,3
1572,0,2
1573,1,3
1574,0,0
1575,6,4
1576,2,2
1585,0,0
1586,1,0
1590,2,0
1591,7,6
1592,1,3
1593,0,0
1594,1,2
1607,0,0
1611,1,0
1612,1,1
1613,0,1
1614,0,0
1615,0,0
1616,0,0
1617,0,1
1618,0,0
1619,0,2
1620,1,0
1621,0,2
1622,5,4
1623,0,0
1624,3,0
1625,0,4
1626,2,2
1627,0,3
1628,0,1
1629,0,0
1630,1,1
1631,1,2
1632,0,3
1633,0,1
1634,0,1
1635,2,2
1636,0,2
1637,1,1
1638,0,0
1639,2,1
1640,4,5
1641,2,0
1642,0,1
1643,0,0
1644,3,4
1645,0,0
1646,1,0
1647,0,4
1648,2,0
1649,2,2
1650,0,1
1651,3,3
1652,0,0
1653,0,0
1654,3,0
1655,1,0
1656,1,0
1657,0,0
1658,0,3
1659,0,2
1660,0,2
1661,1,0
1662,1,0
1663,3,3
1664,0,0
1665,0,0
1666,0,2
1667,0,0
1668,1,0
1669,1,0
1670,4,2
1671,0,2
1672,0,0
1673,0,2
1674,4,2
1675,1,0
1676,0,0
1677,1,1
1678,0,0
1679,6,3
1680,0,0
1681,0,0
1682,0,0
1683,0,1
1685,2,0
1686,0,0
1689,0,0
1690,2,9
1691,2,1
1692,1,0
1693,0,0
1696,1,2
1697,0,0
1698,5,8
1699,1,0
1700,5,4
1701,2,1
1705,2,3
1706,4,2
1707,3,6
1708,0,0
1709,0,0
1711,0,0
1713,4,3
1716,3,1
1717,2,1
1722,2,1
1724,0,1
1725,0,0
1726,3,2
1727,1,0
1728,0,0
1729,2,0
1731,0,0
1733,1,0
1735,0,0
1736,1,0
1738,0,0
1741,3,1
1746,0,0
1747,0,1
1749,4,1
1751,1,0
1753,5,3
1754,4,4
1768,7,3
1772,3,12
1780,4,2
1781,1,0
1782,4,10
1783,0,2
1784,0,4
1785,6,1
1786,6,5
1789,1,0
1801,0,0
1805,1,1
1806,0,0
1810,0,1
1824,0,2
1827,2,1
1828,0,0
1830,0,0
1842,0,0
1846,0,0
1851,0,1
1855,0,0
1858,5,5
1861,1,0
1862,2,1
1863,0,0
1864,1,0
1865,3,0
1866,0,0
1867,0,0
1868,1,0
1869,2,2
1870,4,0
1871,3,1
1872,1,1
1873,2,0
1874,1,0
1875,0,0
1876,2,1
1905,4,0
1906,3,1
1910,2,1
1911,0,0
1912,1,1
1913,2,1
1914,3,0
1915,1,3
1916,1,0
1917,0,0
1918,2,0
1919,2,0
1920,0,0
1921,1,2
1922,0,1
1923,1,0
1928,1,0
1931,0,1
1932,2,1
1933,0,1
1935,0,0
1936,1,0
1937,2,0
1939,0,1
1941,3,4
1942,2,2
1943,0,0
1946,1,3
1947,2,1
1948,3,0
1949,2,1
1951,2,1
1952,0,0
1953,1,0
1954,2,0
1955,5,1
1956,0,1
1957,7,0
1958,1,0
1959,1,2
1960,3,1
1961,0,0
1962,1,0
1963,0,0
1964,0,1
1965,2,0
1966,7,0
1967,2,1
1968,1,1
1969,2,0
1970,1,0
1971,0,0
1972,4,2
1973,4,2
1974,0,1
1983,5,2
1984,0,0
1985,2,0
1986,1,0
1987,3,1
1988,6,1
1989,0,0
1990,4,1
1991,0,2
1992,1,0
1993,0,0
1994,1,2
1995,6,2
1997,8,4
1998,4,1
2000,10,6
2002,3,1
2003,3,0
2004,3,9
2005,1,1
